Log_ID,Timestamp,Service_Name,Notification_Type,Recipient_Type,Status,Failure_Reason,Response_Code,Retry_Count,Delivery_Time_ms
LOG00035,2026-02-18 12:10:56,Email Gateway,Promotional,Customer,Failed,Network Error,503,0,1564
LOG00036,2026-06-29 21:10:58,Notification Service,Password Reset,Admin,Delivered,,250,0,1001
LOG00037,2026-06-25 05:41:18,Email Gateway,Password Reset,Admin,Failed,SMTP Timeout,504,3,3136
LOG00038,2026-03-24 03:21:27,Authentication Service,Promotional,Employee,Delivered,,250,0,299
LOG00039,2026-04-23 11:10:32,Authentication Service,Email,Vendor,Failed,Server Error,500,1,1265
LOG00040,2026-04-09 14:39:08,Email Gateway,Password Reset,Customer,Delivered,,250,0,661
LOG00041,2026-03-20 09:43:49,Email Gateway,Alert,Employee,Delivered,,250,0,347
LOG00042,2026-03-23 09:43:46,Authentication Service,Alert,Vendor,Delivered,,250,0,1646
LOG00043,2026-03-03 00:12:10,Notification Service,Invoice,Admin,Delivered,,250,0,1116
LOG00044,2026-03-03 09:29:33,Email Gateway,Email,Admin,Delivered,,250,0,384
LOG00045,2026-01-15 05:25:10,Authentication Service,Password Reset,Vendor,Delivered,,250,0,320
LOG00046,2026-06-20 17:41:46,Notification Service,Invoice,Vendor,Delivered,,250,0,1620
LOG00047,2026-02-28 17:49:55,Authentication Service,Alert,Customer,Delivered,,250,0,1538
LOG00048,2026-01-21 02:44:53,Notification Service,Invoice,Customer,Delivered,,250,0,498
LOG00049,2026-02-22 21:14:04,Marketing Service,Alert,Employee,Delivered,,250,0,1478
LOG00050,2026-06-15 14:51:42,Marketing Service,Alert,Admin,Delivered,,250,0,284
LOG00051,2026-01-18 22:08:31,Billing Service,Invoice,Customer,Failed,Authentication Error,535,2,2123
LOG00052,2026-05-24 22:23:11,Billing Service,Alert,Admin,Delivered,,250,0,1595
LOG00053,2026-06-25 12:36:44,Notification Service,Alert,Customer,Delivered,,250,0,483
LOG00054,2026-03-25 10:57:04,Notification Service,Email,Vendor,Delivered,,250,0,261
LOG00055,2026-06-24 13:17:32,Marketing Service,Password Reset,Employee,Delivered,,250,0,1326
LOG00056,2026-06-21 16:21:58,Billing Service,Alert,Employee,Delivered,,250,0,512
LOG00057,2026-06-05 07:44:37,Notification Service,Promotional,Customer,Delivered,,250,0,1782
LOG00058,2026-03-21 22:43:20,Notification Service,Invoice,Employee,Delivered,,250,0,259
LOG00059,2026-06-16 17:20:04,Billing Service,Password Reset,Employee,Delivered,,250,0,805
LOG00060,2026-06-09 07:58:36,Notification Service,Password Reset,Customer,Delivered,,250,0,750
LOG00061,2026-06-17 20:10:36,Email Gateway,Invoice,Vendor,Delivered,,250,0,1278
LOG00062,2026-03-06 07:16:12,Email Gateway,Email,Vendor,Delivered,,250,1,723
LOG00063,2026-01-08 10:17:29,Email Gateway,Alert,Admin,Delivered,,250,0,1073
LOG00064,2026-04-28 17:08:16,Authentication Service,Email,Admin,Delivered,,250,0,270
LOG00065,2026-05-18 15:10:43,Billing Service,Email,Employee,Delivered,,250,0,1540
LOG00066,2026-06-28 19:06:11,Marketing Service,Alert,Vendor,Delivered,,250,0,795
LOG00067,2026-04-09 11:21:43,Marketing Service,Promotional,Vendor,Delivered,,250,0,440
LOG00068,2026-02-07 06:02:22,Billing Service,Promotional,Employee,Delivered,,250,0,1302
LOG00069,2026-06-11 21:26:27,Email Gateway,Invoice,Vendor,Delivered,,250,0,1422
LOG00070,2026-05-08 03:08:57,Marketing Service,Promotional,Admin,Delivered,,250,0,1149
LOG00071,2026-06-04 03:04:30,Notification Service,Email,Vendor,Delivered,,250,0,866
LOG00072,2026-01-19 03:12:57,Notification Service,Invoice,Employee,Delivered,,250,0,274
LOG00073,2026-02-17 13:02:56,Billing Service,Alert,Customer,Delivered,,250,0,1358
LOG00074,2026-02-07 18:08:01,Billing Service,Promotional,Admin,Delivered,,250,0,191
LOG00075,2026-06-23 08:05:46,Email Gateway,Promotional,Employee,Delivered,,250,1,1240
LOG00076,2026-04-01 04:57:33,Email Gateway,Alert,Employee,Delivered,,250,0,453
LOG00077,2026-06-05 14:52:19,Billing Service,Alert,Vendor,Delivered,,250,0,1434
LOG00078,2026-06-08 06:12:20,Authentication Service,Promotional,Admin,Delivered,,250,0,1152
LOG00079,2026-03-29 09:28:37,Marketing Service,Password Reset,Vendor,Delivered,,250,0,1463
LOG00080,2026-02-16 10:57:59,Marketing Service,Promotional,Customer,Delivered,,250,0,867
LOG00081,2026-03-04 01:57:16,Authentication Service,Email,Employee,Delivered,,250,0,492
LOG00082,2026-05-18 04:09:06,Notification Service,Email,Admin,Delivered,,250,0,1031
LOG00083,2026-01-13 02:10:45,Notification Service,Promotional,Admin,Delivered,,250,0,1604
LOG00084,2026-01-04 19:01:31,Authentication Service,Promotional,Admin,Failed,SMTP Timeout,504,3,7791
LOG00085,2026-06-23 03:21:02,Billing Service,Alert,Employee,Delivered,,250,0,1174
LOG00086,2026-01-06 15:15:55,Billing Service,Invoice,Admin,Delivered,,250,0,441
LOG00087,2026-05-01 19:55:39,Authentication Service,Email,Admin,Delivered,,250,0,351
LOG00088,2026-05-05 19:25:49,Billing Service,Password Reset,Admin,Delivered,,250,0,850
LOG00089,2026-02-11 02:24:30,Billing Service,Invoice,Vendor,Delivered,,250,0,1720
LOG00090,2026-06-11 13:02:53,Billing Service,Invoice,Customer,Delivered,,250,0,286
LOG00091,2026-03-09 22:56:00,Notification Service,Email,Customer,Delivered,,250,1,588
LOG00092,2026-06-12 23:05:23,Email Gateway,Alert,Employee,Delivered,,250,0,414
LOG00093,2026-04-20 12:17:19,Notification Service,Promotional,Vendor,Delivered,,250,0,1423
LOG00094,2026-05-26 05:35:10,Email Gateway,Password Reset,Vendor,Delivered,,250,0,818
LOG00095,2026-04-22 19:24:26,Billing Service,Promotional,Employee,Failed,Mailbox Full,552,1,1634
LOG00096,2026-05-16 09:09:17,Marketing Service,Alert,Customer,Delivered,,250,0,264
LOG00097,2026-03-09 10:05:12,Authentication Service,Promotional,Vendor,Failed,Mailbox Full,552,0,7759
LOG00098,2026-03-23 13:36:56,Billing Service,Email,Admin,Delivered,,250,0,1121
LOG00099,2026-05-18 08:17:49,Notification Service,Promotional,Employee,Delivered,,250,1,733
LOG00100,2026-04-30 14:21:34,Authentication Service,Promotional,Admin,Delivered,,250,0,729
LOG00101,2026-03-04 14:02:53,Notification Service,Email,Vendor,Delivered,,250,0,1131
LOG00102,2026-04-21 15:41:30,Authentication Service,Promotional,Vendor,Failed,Authentication Error,535,1,4794
LOG00103,2026-02-11 04:33:00,Marketing Service,Invoice,Vendor,Delivered,,250,0,745
LOG00104,2026-04-18 22:10:26,Email Gateway,Alert,Employee,Delivered,,250,0,1180
LOG00105,2026-04-18 19:18:31,Notification Service,Promotional,Admin,Delivered,,250,0,782
LOG00106,2026-02-13 00:42:50,Billing Service,Password Reset,Vendor,Delivered,,250,0,1313
LOG00107,2026-04-14 02:16:31,Marketing Service,Promotional,Vendor,Delivered,,250,0,807
LOG00108,2026-02-18 19:37:33,Notification Service,Email,Employee,Delivered,,250,0,1740
LOG00109,2026-05-15 00:23:43,Notification Service,Password Reset,Employee,Delivered,,250,0,1387
LOG00110,2026-05-28 14:49:32,Authentication Service,Alert,Vendor,Delivered,,250,0,786
LOG00111,2026-02-14 04:08:54,Marketing Service,Password Reset,Vendor,Failed,Server Error,500,2,1172
LOG00112,2026-01-11 14:06:34,Authentication Service,Invoice,Employee,Delivered,,250,0,390
LOG00113,2026-06-19 11:10:07,Email Gateway,Alert,Vendor,Delivered,,250,0,557
LOG00114,2026-01-10 23:25:58,Marketing Service,Promotional,Customer,Delivered,,250,0,331
LOG00115,2026-04-23 01:06:48,Email Gateway,Password Reset,Employee,Delivered,,250,1,354
LOG00116,2026-02-18 04:39:13,Email Gateway,Alert,Admin,Delivered,,250,0,642
LOG00117,2026-05-31 14:59:38,Authentication Service,Promotional,Admin,Delivered,,250,0,1385
LOG00118,2026-03-25 06:29:30,Marketing Service,Alert,Customer,Delivered,,250,0,1742
LOG00119,2026-02-10 08:21:42,Notification Service,Invoice,Customer,Delivered,,250,0,333
LOG00120,2026-01-31 09:29:41,Email Gateway,Promotional,Admin,Delivered,,250,0,246
LOG00121,2026-02-14 22:45:26,Marketing Service,Invoice,Admin,Failed,Invalid Email,550,2,7253
LOG00122,2026-06-03 15:28:54,Authentication Service,Password Reset,Admin,Delivered,,250,0,485
LOG00123,2026-06-26 09:30:15,Marketing Service,Password Reset,Customer,Failed,Authentication Error,535,2,4397
LOG00124,2026-01-25 03:31:48,Billing Service,Invoice,Admin,Delivered,,250,0,1191
LOG00125,2026-03-27 00:06:15,Email Gateway,Alert,Customer,Delivered,,250,0,1416
LOG00126,2026-02-18 14:47:56,Email Gateway,Email,Employee,Delivered,,250,0,1358
LOG00127,2026-04-25 00:11:28,Email Gateway,Invoice,Customer,Delivered,,250,0,1242
LOG00128,2026-05-07 12:15:15,Billing Service,Invoice,Employee,Delivered,,250,0,1187
LOG00129,2026-01-18 17:13:13,Billing Service,Invoice,Admin,Delivered,,250,0,509
LOG00130,2026-03-06 00:59:47,Billing Service,Promotional,Vendor,Delivered,,250,0,1737
LOG00131,2026-04-17 19:38:09,Email Gateway,Promotional,Customer,Delivered,,250,0,1762
LOG00132,2026-03-20 11:35:32,Authentication Service,Email,Admin,Delivered,,250,0,920
LOG00133,2026-05-01 21:41:02,Billing Service,Promotional,Customer,Delivered,,250,0,769
LOG00134,2026-03-27 01:46:08,Billing Service,Email,Customer,Delivered,,250,0,670
LOG00135,2026-05-18 19:49:39,Notification Service,Invoice,Customer,Delivered,,250,0,412
LOG00136,2026-03-31 14:30:10,Email Gateway,Password Reset,Admin,Delivered,,250,0,1624
LOG00137,2026-02-23 02:15:08,Billing Service,Promotional,Admin,Delivered,,250,0,965
LOG00138,2026-02-07 00:18:31,Authentication Service,Alert,Employee,Delivered,,250,0,1797
LOG00139,2026-06-15 21:51:01,Billing Service,Invoice,Vendor,Delivered,,250,0,791
LOG00140,2026-06-12 14:55:14,Authentication Service,Alert,Admin,Delivered,,250,0,1171
LOG00141,2026-03-09 00:23:38,Marketing Service,Alert,Admin,Delivered,,250,0,566
LOG00142,2026-05-16 10:34:41,Notification Service,Alert,Admin,Delivered,,250,0,269
LOG00143,2026-03-03 18:48:32,Billing Service,Promotional,Admin,Delivered,,250,0,1515
LOG00144,2026-01-30 12:51:43,Billing Service,Email,Employee,Delivered,,250,0,385
LOG00145,2026-06-19 18:01:20,Billing Service,Email,Admin,Failed,Invalid Email,550,1,1412
LOG00146,2026-04-02 03:59:05,Marketing Service,Invoice,Admin,Delivered,,250,0,1561
LOG00147,2026-06-16 20:49:29,Authentication Service,Promotional,Vendor,Delivered,,250,0,1179
LOG00148,2026-06-19 09:35:58,Authentication Service,Email,Customer,Delivered,,250,0,768
LOG00149,2026-02-14 04:09:46,Email Gateway,Promotional,Customer,Delivered,,250,0,385
LOG00150,2026-03-28 03:41:30,Notification Service,Invoice,Customer,Failed,Authentication Error,535,2,3736
LOG00151,2026-03-14 18:53:09,Billing Service,Password Reset,Employee,Delivered,,250,0,548
LOG00152,2026-02-03 00:10:52,Notification Service,Email,Admin,Delivered,,250,0,1374
LOG00153,2026-01-28 18:58:36,Notification Service,Promotional,Vendor,Delivered,,250,0,1132
LOG00154,2026-06-24 23:56:25,Marketing Service,Alert,Employee,Delivered,,250,1,1383
LOG00155,2026-02-28 02:09:35,Billing Service,Invoice,Admin,Delivered,,250,0,967
LOG00156,2026-06-15 16:49:53,Billing Service,Email,Employee,Delivered,,250,0,785
LOG00157,2026-05-16 18:52:36,Marketing Service,Email,Admin,Delivered,,250,0,1584
LOG00158,2026-06-01 03:11:42,Email Gateway,Alert,Admin,Delivered,,250,0,1768
LOG00159,2026-06-05 02:57:28,Notification Service,Alert,Vendor,Delivered,,250,0,693
LOG00160,2026-05-12 14:36:40,Notification Service,Email,Customer,Delivered,,250,0,1366
LOG00161,2026-03-12 20:22:35,Notification Service,Email,Vendor,Delivered,,250,0,591
LOG00162,2026-01-26 15:54:33,Authentication Service,Invoice,Vendor,Delivered,,250,0,1166
LOG00163,2026-06-06 14:30:31,Marketing Service,Invoice,Customer,Delivered,,250,0,1724
LOG00164,2026-02-13 19:26:26,Billing Service,Alert,Vendor,Delivered,,250,0,721
LOG00165,2026-04-15 04:36:29,Email Gateway,Promotional,Vendor,Delivered,,250,0,1377
LOG00166,2026-03-15 23:42:27,Marketing Service,Email,Employee,Delivered,,250,0,1329
LOG00167,2026-03-05 16:37:12,Authentication Service,Password Reset,Customer,Delivered,,250,0,1615
LOG00168,2026-02-28 16:18:29,Billing Service,Email,Employee,Failed,Invalid Email,550,3,1751
LOG00169,2026-01-19 20:56:51,Notification Service,Alert,Employee,Delivered,,250,0,1701
LOG00170,2026-05-16 05:51:02,Authentication Service,Promotional,Employee,Delivered,,250,0,1182
LOG00171,2026-04-30 13:08:50,Billing Service,Invoice,Customer,Delivered,,250,0,1090
LOG00172,2026-02-15 20:21:52,Marketing Service,Email,Vendor,Delivered,,250,1,914
LOG00173,2026-01-12 18:11:01,Billing Service,Invoice,Employee,Delivered,,250,1,1111
LOG00174,2026-01-18 19:13:44,Notification Service,Alert,Customer,Failed,SMTP Timeout,504,1,7246
LOG00175,2026-04-20 15:07:26,Notification Service,Email,Employee,Delivered,,250,0,657
LOG00176,2026-03-05 19:11:54,Notification Service,Alert,Customer,Delivered,,250,1,446
LOG00177,2026-04-15 21:35:11,Marketing Service,Password Reset,Customer,Delivered,,250,0,210
LOG00178,2026-03-11 13:31:48,Notification Service,Alert,Vendor,Failed,SMTP Timeout,504,1,6876
LOG00179,2026-03-23 17:49:06,Authentication Service,Email,Customer,Delivered,,250,0,1231
LOG00180,2026-04-26 06:41:03,Email Gateway,Promotional,Employee,Delivered,,250,0,1784
LOG00181,2026-06-26 11:05:23,Authentication Service,Invoice,Admin,Delivered,,250,0,1160
LOG00182,2026-06-14 12:41:50,Billing Service,Promotional,Customer,Delivered,,250,0,330
LOG00183,2026-06-24 14:53:12,Email Gateway,Invoice,Employee,Failed,SMTP Timeout,504,2,3920
LOG00184,2026-04-27 00:02:52,Authentication Service,Invoice,Admin,Delivered,,250,0,1617
LOG00185,2026-01-23 05:12:29,Authentication Service,Password Reset,Admin,Delivered,,250,0,874
LOG00186,2026-06-10 16:03:11,Billing Service,Promotional,Admin,Delivered,,250,0,820
LOG00187,2026-05-10 03:37:38,Marketing Service,Invoice,Employee,Delivered,,250,0,366
LOG00188,2026-06-11 12:20:16,Email Gateway,Email,Admin,Delivered,,250,0,446
LOG00189,2026-04-19 00:52:32,Email Gateway,Alert,Vendor,Delivered,,250,0,1542
LOG00190,2026-05-26 16:34:40,Billing Service,Email,Vendor,Delivered,,250,0,1363
LOG00191,2026-04-09 12:42:49,Notification Service,Password Reset,Admin,Delivered,,250,0,1319
LOG00192,2026-03-13 08:57:31,Email Gateway,Invoice,Employee,Delivered,,250,0,1751
LOG00193,2026-06-08 22:08:44,Authentication Service,Alert,Customer,Delivered,,250,0,1600
LOG00194,2026-02-21 22:23:48,Email Gateway,Password Reset,Vendor,Delivered,,250,0,875
LOG00195,2026-03-10 03:53:15,Email Gateway,Password Reset,Employee,Delivered,,250,0,470
LOG00196,2026-05-24 21:09:57,Email Gateway,Email,Employee,Delivered,,250,0,502
LOG00197,2026-03-13 20:34:20,Marketing Service,Invoice,Customer,Delivered,,250,0,1725
LOG00198,2026-04-30 23:20:04,Email Gateway,Email,Vendor,Delivered,,250,0,1423
LOG00199,2026-03-27 20:04:30,Billing Service,Invoice,Employee,Delivered,,250,0,1060
LOG00200,2026-01-22 12:47:01,Marketing Service,Alert,Admin,Delivered,,250,0,631
LOG00201,2026-03-18 18:03:39,Authentication Service,Email,Customer,Delivered,,250,1,1751
LOG00202,2026-01-27 15:33:37,Marketing Service,Invoice,Vendor,Delivered,,250,0,1061
LOG00203,2026-02-04 02:47:49,Notification Service,Promotional,Employee,Delivered,,250,0,905
LOG00204,2026-01-14 23:53:46,Billing Service,Email,Admin,Failed,Network Error,503,2,5516
LOG00205,2026-03-25 08:36:35,Authentication Service,Promotional,Admin,Delivered,,250,0,845
LOG00206,2026-02-03 08:59:13,Authentication Service,Promotional,Vendor,Delivered,,250,0,678
LOG00207,2026-03-26 14:23:59,Authentication Service,Promotional,Customer,Delivered,,250,0,875
LOG00208,2026-02-13 00:36:02,Marketing Service,Password Reset,Customer,Delivered,,250,0,1224
LOG00209,2026-02-07 15:39:24,Marketing Service,Invoice,Employee,Delivered,,250,0,584
LOG00210,2026-02-03 16:33:50,Authentication Service,Password Reset,Customer,Delivered,,250,0,1191
LOG00211,2026-04-01 02:10:40,Authentication Service,Alert,Admin,Delivered,,250,0,1496
LOG00212,2026-05-04 08:42:17,Authentication Service,Invoice,Vendor,Delivered,,250,0,1085
LOG00213,2026-05-03 14:28:04,Marketing Service,Invoice,Customer,Delivered,,250,0,1125
LOG00214,2026-03-29 18:04:16,Email Gateway,Email,Vendor,Delivered,,250,0,364
LOG00215,2026-04-30 10:08:48,Authentication Service,Alert,Admin,Delivered,,250,0,1693
LOG00216,2026-06-23 23:05:18,Email Gateway,Promotional,Employee,Delivered,,250,0,488
LOG00217,2026-01-13 00:21:08,Billing Service,Email,Vendor,Delivered,,250,0,1503
LOG00218,2026-02-03 12:10:58,Email Gateway,Password Reset,Admin,Delivered,,250,0,1428
LOG00219,2026-01-31 19:48:39,Marketing Service,Invoice,Vendor,Delivered,,250,0,1570
LOG00220,2026-04-27 02:21:00,Email Gateway,Invoice,Customer,Delivered,,250,0,971
LOG00221,2026-02-25 04:13:15,Marketing Service,Alert,Employee,Delivered,,250,0,469
LOG00222,2026-06-28 00:20:53,Marketing Service,Invoice,Admin,Delivered,,250,0,353
LOG00223,2026-03-02 02:45:22,Authentication Service,Promotional,Vendor,Delivered,,250,0,1693
LOG00224,2026-05-14 02:15:46,Authentication Service,Email,Admin,Delivered,,250,0,812
LOG00225,2026-02-05 00:05:09,Notification Service,Invoice,Admin,Delivered,,250,1,497
LOG00226,2026-01-15 23:36:55,Marketing Service,Email,Customer,Delivered,,250,0,1445
LOG00227,2026-01-26 10:43:58,Authentication Service,Promotional,Employee,Delivered,,250,0,1759
LOG00228,2026-05-02 07:30:05,Notification Service,Promotional,Customer,Delivered,,250,0,666
LOG00229,2026-03-28 06:06:57,Authentication Service,Invoice,Admin,Delivered,,250,0,1786
LOG00230,2026-04-02 01:46:16,Notification Service,Invoice,Admin,Delivered,,250,0,962
LOG00231,2026-04-08 15:42:54,Authentication Service,Promotional,Employee,Delivered,,250,0,463
LOG00232,2026-06-19 12:29:01,Marketing Service,Email,Admin,Delivered,,250,0,390
LOG00233,2026-05-19 03:22:07,Authentication Service,Email,Vendor,Delivered,,250,0,1100
LOG00234,2026-06-25 19:01:57,Authentication Service,Password Reset,Admin,Delivered,,250,0,1103
LOG00235,2026-06-21 18:40:24,Marketing Service,Email,Admin,Failed,Server Error,500,1,3963
LOG00236,2026-01-16 20:18:32,Marketing Service,Password Reset,Customer,Delivered,,250,0,1643
LOG00237,2026-05-07 05:02:10,Marketing Service,Password Reset,Employee,Failed,Network Error,503,3,6502
LOG00238,2026-06-11 09:15:20,Notification Service,Promotional,Admin,Delivered,,250,0,218
LOG00239,2026-02-19 16:41:31,Notification Service,Password Reset,Admin,Delivered,,250,0,796
LOG00240,2026-01-24 15:51:16,Email Gateway,Password Reset,Admin,Delivered,,250,0,308
LOG00241,2026-01-22 12:38:06,Billing Service,Alert,Customer,Delivered,,250,0,1651
LOG00242,2026-01-28 21:06:59,Marketing Service,Promotional,Customer,Delivered,,250,0,1033
LOG00243,2026-02-06 08:56:45,Email Gateway,Alert,Vendor,Failed,Server Error,500,0,3998
LOG00244,2026-06-19 14:01:10,Billing Service,Email,Admin,Delivered,,250,0,213
LOG00245,2026-03-11 08:10:41,Email Gateway,Invoice,Employee,Delivered,,250,0,1760
LOG00246,2026-04-23 23:51:57,Marketing Service,Password Reset,Customer,Delivered,,250,0,1496
LOG00247,2026-02-03 23:58:28,Billing Service,Promotional,Employee,Delivered,,250,0,1769
LOG00248,2026-03-30 20:56:29,Email Gateway,Invoice,Employee,Failed,Invalid Email,550,0,3385
LOG00249,2026-03-02 05:03:30,Authentication Service,Promotional,Admin,Delivered,,250,0,571
LOG00250,2026-02-25 13:22:24,Marketing Service,Email,Vendor,Delivered,,250,0,1074
LOG00251,2026-06-22 17:18:27,Billing Service,Promotional,Admin,Delivered,,250,0,1597
LOG00252,2026-04-07 14:37:37,Marketing Service,Alert,Vendor,Delivered,,250,0,341
LOG00253,2026-03-25 14:46:29,Authentication Service,Password Reset,Vendor,Delivered,,250,0,1533
LOG00254,2026-02-27 09:46:55,Marketing Service,Promotional,Admin,Delivered,,250,0,1095
LOG00255,2026-01-09 05:23:21,Marketing Service,Alert,Admin,Delivered,,250,1,297
LOG00256,2026-01-15 13:43:01,Billing Service,Invoice,Employee,Delivered,,250,0,1424
LOG00257,2026-05-12 16:07:23,Billing Service,Email,Employee,Failed,Authentication Error,535,2,3766
LOG00258,2026-03-16 08:13:50,Authentication Service,Email,Employee,Delivered,,250,1,941
LOG00259,2026-03-28 04:54:25,Email Gateway,Alert,Employee,Delivered,,250,0,1510
LOG00260,2026-02-24 02:47:18,Notification Service,Email,Customer,Delivered,,250,0,972
LOG00261,2026-06-27 09:24:59,Authentication Service,Email,Vendor,Delivered,,250,0,619
LOG00262,2026-04-29 19:33:15,Marketing Service,Promotional,Employee,Delivered,,250,0,1105
LOG00263,2026-02-03 12:38:13,Billing Service,Email,Vendor,Delivered,,250,0,1306
LOG00264,2026-04-16 06:42:06,Marketing Service,Invoice,Employee,Delivered,,250,0,1486
LOG00265,2026-02-03 19:19:22,Marketing Service,Alert,Employee,Delivered,,250,0,464
LOG00266,2026-02-15 23:16:14,Billing Service,Email,Vendor,Delivered,,250,0,1309
LOG00267,2026-01-26 04:46:39,Authentication Service,Email,Customer,Delivered,,250,1,1652
LOG00268,2026-04-03 22:44:27,Authentication Service,Promotional,Admin,Delivered,,250,0,829
LOG00269,2026-05-05 17:30:53,Email Gateway,Promotional,Admin,Delivered,,250,0,1777
LOG00270,2026-04-18 01:15:36,Authentication Service,Password Reset,Employee,Delivered,,250,0,293
LOG00271,2026-06-11 10:33:43,Email Gateway,Alert,Employee,Delivered,,250,0,1632
LOG00272,2026-02-13 18:46:03,Marketing Service,Alert,Vendor,Delivered,,250,0,1480
LOG00273,2026-04-17 23:06:25,Marketing Service,Password Reset,Vendor,Delivered,,250,0,1492
LOG00274,2026-02-02 17:54:00,Authentication Service,Alert,Employee,Delivered,,250,0,1419
LOG00275,2026-03-07 13:25:16,Authentication Service,Email,Customer,Delivered,,250,1,1759
LOG00276,2026-04-22 23:56:55,Marketing Service,Password Reset,Admin,Delivered,,250,0,1464
LOG00277,2026-04-16 22:34:31,Marketing Service,Invoice,Admin,Delivered,,250,0,1011
LOG00278,2026-02-27 18:08:32,Billing Service,Email,Customer,Delivered,,250,0,1131
LOG00279,2026-02-09 14:48:58,Marketing Service,Alert,Employee,Delivered,,250,0,1683
LOG00280,2026-06-17 03:30:47,Marketing Service,Promotional,Employee,Delivered,,250,0,397
LOG00281,2026-03-03 23:11:16,Notification Service,Promotional,Customer,Delivered,,250,0,378
LOG00282,2026-01-10 19:50:15,Marketing Service,Promotional,Admin,Delivered,,250,0,507
LOG00283,2026-06-07 23:04:53,Marketing Service,Alert,Vendor,Delivered,,250,0,1234
LOG00284,2026-04-01 15:30:58,Billing Service,Invoice,Admin,Failed,Network Error,503,3,2772
LOG00285,2026-02-11 18:38:44,Authentication Service,Invoice,Customer,Failed,Server Error,500,3,3140
LOG00286,2026-04-15 05:09:36,Email Gateway,Email,Admin,Delivered,,250,0,929
LOG00287,2026-05-29 07:49:49,Billing Service,Invoice,Customer,Delivered,,250,0,578
LOG00288,2026-03-12 09:28:59,Authentication Service,Invoice,Customer,Delivered,,250,0,1306
LOG00289,2026-02-24 07:35:34,Authentication Service,Alert,Customer,Delivered,,250,0,944
LOG00290,2026-06-04 08:29:22,Marketing Service,Alert,Vendor,Delivered,,250,0,1222
LOG00291,2026-03-19 22:35:57,Authentication Service,Email,Customer,Failed,Mailbox Full,552,3,5054
LOG00292,2026-03-30 17:43:15,Notification Service,Alert,Employee,Delivered,,250,0,512
